"Replicon","Enzymes","Size"
"NC_007332.1 chromosome",250,920079
"NC_007335.2 chromosome",816,1842899
"NC_007350.1 chromosome",1094,2516575
"NC_007354.1 chromosome",407,1315030
"NC_007356.1 chromosome",639,1395502
"NC_007384.1 chromosome",1852,4825265
"NC_007404.1 chromosome",1171,2909809
"NC_007406.1 chromosome",1195,3402093
"NC_007413.1 chromosome",1993,6365727
"NC_007426.1 chromosome",1010,2595221
"NC_007429.1 chromosome",373,1044459
"NC_007432.1 chromosome",864,2127839
"NC_007434.1 chromosome",1470,4126292
"NC_007435.1 chromosome",890,3181762
"NC_007481.1 chromosome",1214,3214944
"NC_007482.1 chromosome",202,635328
"NC_007484.1 chromosome",1299,3481691
"NC_007492.2 chromosome",2317,6438405
"NC_007498.2 chromosome",1340,3665893
"NC_007503.1 chromosome",1078,2401520
"NC_007508.1 chromosome",1742,5178466
"NC_007509.1 chromosome",434,1395069
"NC_007510.1 chromosome",1456,3694126
"NC_007511.1 chromosome",1189,3587082
"NC_007512.1 chromosome",990,2364842
"NC_007513.1 chromosome",1017,2234828
"NC_007516.1 chromosome",1056,2510659
"NC_007517.1 chromosome",1464,3997420
"NC_007519.1 chromosome",1266,3730232
"NC_007530.2 chromosome",2006,5227419
"NC_007575.1 chromosome",907,2201561
"NC_007576.1 chromosome",753,1884661
"NC_007577.1 chromosome",816,1709204
"NC_007604.1 chromosome",1117,2695903
"NC_007606.1 chromosome",1662,4369232
"NC_007613.1 chromosome",1743,4519823
"NC_007614.1 chromosome",1176,3184243
"NC_007618.1 chromosome",930,2121359
"NC_007622.1 chromosome",1087,2742531
"NC_007624.1 chromosome",419,1156948
"NC_007626.1 chromosome",1609,4967148
"NC_007633.1 chromosome",314,1010023
"NC_007643.1 chromosome",1590,4352825
"NC_007645.1 chromosome",2169,7215267
"NC_007650.1 chromosome",865,2914771
"NC_007651.1 chromosome",1431,3809201
"NC_007677.1 chromosome",1208,3551823
"NC_007681.1 chromosome",704,1767403
"NC_007705.1 chromosome",1557,4940217
"NC_007712.1 chromosome",1521,4171146
"NC_007716.1 chromosome",207,706569
"NC_007722.1 chromosome",1309,3052398
"NC_007759.1 chromosome",1183,3179300
"NC_007760.1 chromosome",1755,5013479
"NC_007761.1 chromosome",1735,4381608
"NC_007775.1 chromosome",1110,2932766
"NC_007776.1 chromosome",1161,3046682
"NC_007777.1 chromosome",1874,5433628
"NC_007778.1 chromosome",1971,5331656
"NC_007793.1 chromosome",1122,2872769
"NC_007794.1 chromosome",1471,3561584
"NC_007795.1 chromosome",676,2821361
"NC_007796.1 chromosome",1130,3544738
"NC_007797.1 chromosome",425,1471282
"NC_007798.1 chromosome",365,859006
"NC_007799.1 chromosome",414,1176248
"NC_007802.1 chromosome",1719,4317977
"NC_007880.1 chromosome",834,1895994
"NC_007899.1 chromosome",388,1166239
"NC_007907.1 chromosome",1841,5727534
"NC_007908.1 chromosome",1837,4712337
"NC_007912.1 chromosome",1568,5057531
"NC_007929.1 chromosome",765,1827111
"NC_007940.1 chromosome",507,1522076
"NC_007946.1 chromosome",1966,5065741
"NC_007947.1 chromosome",1145,2971517
"NC_007948.1 chromosome",1993,5200264
"NC_007951.1 chromosome",1731,4895836
"NC_007952.1 chromosome",1121,3363523
"NC_007953.1 chromosome",535,1471779
"NC_007954.1 chromosome",1471,4545906
"NC_007955.1 chromosome",928,2575032
"NC_007963.1 chromosome",1493,3696649
"NC_007964.1 chromosome",1436,4406967
"NC_007969.1 chromosome",1151,3059876
"NC_007973.1 chromosome",1554,3928089
"NC_007984.1 chromosome",395,686194
"NC_008009.1 chromosome",1823,5650368
"NC_008011.1 chromosome",569,1457619
"NC_008021.1 chromosome",733,1836467
"NC_008022.1 chromosome",760,1928252
"NC_008023.1 chromosome",743,1860355
"NC_008024.1 chromosome",772,1937111
"NC_008025.1 chromosome",1092,2467205
"NC_008027.1 chromosome",2079,5888780
"NC_008044.1 chromosome",1290,3200938
"NC_008048.1 chromosome",1414,3345170
"NC_008054.1 chromosome",744,1864998
"NC_008086.1 chromosome",683,1596366
"NC_008095.1 chromosome",2613,9139763
"NC_008148.1 chromosome",1587,3225748
"NC_008149.1 chromosome",1580,4534590
"NC_008150.1 chromosome",1651,4702289
"NC_008209.1 chromosome",1648,4133097
"NC_008212.1 chromosome",983,3132494
"NC_008229.1 chromosome",670,1553927
"NC_008245.1 chromosome",825,1892616
"NC_008253.1 chromosome",1930,4938920
"NC_008255.1 chromosome",1340,4433218
"NC_008258.1 chromosome",1772,4574284
"NC_008260.1 chromosome",1289,3120143
"NC_008261.1 chromosome",1185,3256683
"NC_008262.1 chromosome",1058,2897393
"NC_008268.1 chromosome",3274,7804765
"NC_008278.1 chromosome",2647,7497934
"NC_008319.1 chromosome",1064,2606748
"NC_008321.1 chromosome",1617,4706287
"NC_008340.1 chromosome",1282,3275944
"NC_008343.2 chromosome",1140,2708434
"NC_008344.1 chromosome",1032,2661057
"NC_008345.1 chromosome",1667,4845257
"NC_008346.1 chromosome",1025,2936195
"NC_008347.1 chromosome",1310,3368780
"NC_008358.1 chromosome",1554,3705021
"NC_008369.1 chromosome",844,1895727
"NC_008380.1 chromosome",1933,5057142
"NC_008390.1 chromosome",1393,3556545
"NC_008391.1 chromosome",892,2646969
"NC_008392.1 chromosome",400,1281472
"NC_008463.1 chromosome",2392,6537648
"NC_008497.1 chromosome",873,2291220
"NC_008508.1 chromosome",1127,3614446
"NC_008509.1 chromosome",99,317336
"NC_008510.1 chromosome",1116,3576473
"NC_008511.1 chromosome",98,299762
"NC_008512.1 chromosome",79,159662
"NC_008513.1 chromosome",209,416380
"NC_008525.1 chromosome",744,1832387
"NC_008526.1 chromosome",1018,2895264
"NC_008527.1 chromosome",967,2438589
"NC_008528.1 chromosome",782,1780517
"NC_008529.1 chromosome",754,1856951
"NC_008530.1 chromosome",740,1894360
"NC_008531.1 chromosome",863,2038396
"NC_008532.1 chromosome",787,1856368
"NC_008533.2 chromosome",851,2046116
"NC_008541.1 chromosome",1852,4698945
"NC_008542.1 chromosome",1391,3483902
"NC_008543.1 chromosome",973,2998664
"NC_008544.1 chromosome",320,1055417
"NC_008553.1 chromosome",736,1879471
"NC_008554.1 chromosome",1597,4990251
"NC_008555.1 chromosome",1119,2814130
"NC_008563.1 chromosome",1971,5082025
"NC_008570.1 chromosome",1749,4744448
"NC_008571.1 chromosome",1415,3798465
"NC_008576.1 chromosome",1301,4719581
"NC_008577.1 chromosome",1656,4972204
"NC_008578.1 chromosome",1065,2443540
"NC_008593.1 chromosome",952,2547720
"NC_008595.1 chromosome",2488,5475491
"NC_008596.1 chromosome",3147,6988209
"NC_008599.1 chromosome",774,1773615
"NC_008600.1 chromosome",1999,5257091
"NC_008601.1 chromosome",824,1910031
"NC_008609.1 chromosome",1365,4008000
"NC_008610.1 chromosome",587,1160782
"NC_008618.1 chromosome",749,2089645
"NC_008639.1 chromosome",1116,3133902
"NC_008686.1 chromosome",1122,2852282
"NC_008687.1 chromosome",618,1730097
"NC_008698.1 chromosome",664,1781889
"NC_008699.1 chromosome",2109,4985871
"NC_008700.1 chromosome",1571,4306142
"NC_008701.1 chromosome",753,1826402
"NC_008702.1 chromosome",1715,4376040
"NC_008709.1 chromosome",1470,4559598
"NC_008710.1 chromosome",314,917330
"NC_008711.1 chromosome",1825,4597686
"NC_008726.1 chromosome",2759,6491865
"NC_008740.1 chromosome",1581,4326849
"NC_008750.1 chromosome",1552,4708380
"NC_008751.1 chromosome",1093,3462887
"NC_008752.1 chromosome",1771,5352772
"NC_008767.1 chromosome",880,2194961
"NC_008769.1 chromosome",1884,4374522
"NC_008781.1 chromosome",1679,4410291
"NC_008783.1 chromosome",553,1445021
"NC_008784.1 chromosome",556,1734922
"NC_008785.1 chromosome",1315,3497479
"NC_008786.1 chromosome",1932,5566749
"NC_008787.1 chromosome",760,1616554
"NC_008789.1 chromosome",1126,2678452
"NC_008800.1 chromosome",1671,4615899
"NC_008816.1 chromosome",836,1669886
"NC_008817.1 chromosome",838,1704176
"NC_008818.1 chromosome",612,1667163
"NC_008819.1 chromosome",825,1864731
"NC_008820.1 chromosome",1043,2682675
"NC_008825.1 chromosome",1651,4044195
"NC_008835.1 chromosome",689,2284095
"NC_008836.1 chromosome",1310,3458208
"NC_008942.1 chromosome",762,1804962
"NC_009004.1 chromosome",995,2529478
"NC_009009.1 chromosome",994,2388435
"NC_009012.1 chromosome",1233,3843301
"NC_009033.1 chromosome",579,1570485
"NC_009051.1 chromosome",982,2478101
"NC_009052.1 chromosome",1684,5127376
"NC_009053.1 chromosome",975,2274482
"NC_009073.1 chromosome",807,2009313
"NC_009074.1 chromosome",1445,3912947
"NC_009075.1 chromosome",909,3127456
"NC_009076.1 chromosome",1457,3988455
"NC_009078.1 chromosome",888,3100794
"NC_009079.1 chromosome",714,2352693
"NC_009080.1 chromosome",1317,3495687
"NC_009089.1 chromosome",1438,4290252
"NC_009091.1 chromosome",820,1641879
"NC_009092.1 chromosome",1622,4602594
"NC_009135.1 chromosome",764,1780761
"NC_009138.1 chromosome",1270,3424307
"NC_009142.1 chromosome",3046,8212805
"NC_009253.1 chromosome",1249,3608104
"NC_009257.1 chromosome",837,1898476
"NC_009328.1 chromosome",1414,3550319
"NC_009332.1 chromosome",751,1841271
"NC_009342.1 chromosome",1278,3314179
"NC_009348.1 chromosome",1668,4702402
"NC_009376.1 chromosome",863,2121076
"NC_009379.1 chromosome",1033,2159490
"NC_009380.1 chromosome",1972,5183331
"NC_009381.1 chromosome",1591,4517345
"NC_009434.1 chromosome",1780,4567418
"NC_009436.1 chromosome",1772,4518712
"NC_009437.1 chromosome",1058,2970275
"NC_009441.1 chromosome",1879,6096872
"NC_009445.1 chromosome",2624,7456587
"NC_009446.1 chromosome",602,1389350
"NC_009456.1 chromosome",323,1108250
"NC_009457.1 chromosome",1122,3024069
"NC_009464.1 chromosome",1156,3179916
"NC_009465.1 chromosome",565,1022154
"NC_009480.1 chromosome",1338,3297891
"NC_009481.1 chromosome",1011,2366980
"NC_009482.1 chromosome",1001,2224914
"NC_009483.1 chromosome",1629,5136364
"NC_009484.1 chromosome",1449,3389227
"NC_009485.1 chromosome",2827,8264687
"NC_009486.1 chromosome",805,1823511
"NC_009487.1 chromosome",1127,2906700
"NC_009488.1 chromosome",489,2127051
"NC_009494.2 chromosome",1233,3576470
"NC_009495.1 chromosome",1346,3886916
"NC_009497.1 chromosome",293,877438
"NC_009504.1 chromosome",419,1164220
"NC_009505.1 chromosome",929,2111370
"NC_009513.1 chromosome",834,1999618
"NC_009515.1 chromosome",741,1853160
"NC_009523.1 chromosome",1990,5801598
"NC_009525.1 chromosome",1896,4419977
"NC_009565.1 chromosome",1892,4424435
"NC_009566.1 chromosome",830,1813033
"NC_009567.1 chromosome",845,1887192
"NC_009613.3 chromosome",1037,2860382
"NC_009614.1 chromosome",1613,5163189
"NC_009615.1 chromosome",1569,4811379
"NC_009616.1 chromosome",789,1915238
"NC_009617.1 chromosome",1931,6000632
"NC_009633.1 chromosome",1566,4929566
"NC_009634.1 chromosome",749,1720048
"NC_009635.1 chromosome",697,1569500
"NC_009636.1 chromosome",1476,3781904
"NC_009641.1 chromosome",1121,2878897
"NC_009648.1 chromosome",2121,5315120
"NC_009656.1 chromosome",2396,6588339
"NC_009659.1 chromosome",1455,4110251
"NC_009662.1 chromosome",856,1877931
"NC_009663.1 chromosome",1029,2562277
"NC_009664.2 chromosome",1831,4761183
"NC_009665.1 chromosome",1666,5229686
"NC_009667.1 chromosome",1168,2887297
"NC_009668.1 chromosome",587,1895911
"NC_009674.1 chromosome",1510,4087024
"NC_009675.1 chromosome",1821,5277990
"NC_009697.1 chromosome",1340,3863450
"NC_009698.1 chromosome",1315,3760560
"NC_009699.1 chromosome",1360,3995387
"NC_009706.1 chromosome",1364,3964618
"NC_009707.1 chromosome",815,1845106
"NC_009708.1 chromosome",1591,4723306
"NC_009712.1 chromosome",925,2542943
"NC_009714.1 chromosome",708,1711273
"NC_009715.2 chromosome",834,1971270
"NC_009718.1 chromosome",766,1948941
"NC_009719.1 chromosome",1679,3914745
"NC_009725.2 chromosome",1580,3918596
"NC_009727.1 chromosome",809,2158758
"NC_009749.1 chromosome",836,1890909
"NC_009767.1 chromosome",1977,5723298
"NC_009776.1 chromosome",563,1297538
"NC_009778.1 chromosome",1679,4368373
"NC_009782.1 chromosome",1118,2880168
"NC_009783.1 chromosome",1244,3765351
"NC_009784.1 chromosome",563,2204018
"NC_009785.1 chromosome",885,2196662
"NC_009792.1 chromosome",1859,4720462
"NC_009800.1 chromosome",1858,4643538
"NC_009801.1 chromosome",1941,4979619
"NC_009802.2 chromosome",815,2052007
"NC_009828.1 chromosome",868,2135342
"NC_009831.1 chromosome",1789,5517674
"NC_009839.1 chromosome",768,1628115
"NC_009840.1 chromosome",853,1738790
"NC_009848.4 chromosome",1482,3704641
"NC_009850.1 chromosome",948,2341251
"NC_009879.1 chromosome",429,1159772
"NC_009881.1 chromosome",458,1231060
"NC_009882.1 chromosome",479,1257710
"NC_009883.1 chromosome",509,1528980
"NC_009900.1 chromosome",502,1360898
"NC_009901.1 chromosome",1692,5174581
"NC_009922.1 chromosome",1079,3123558
"NC_009925.1 chromosome",1974,6503724
"NC_009937.1 chromosome",1951,5369772
"NC_009943.1 chromosome",1342,3944167
"NC_009952.1 chromosome",1526,3789584
"NC_009954.1 chromosome",862,2077567
"NC_009997.1 chromosome",1675,5347283
"NC_010001.1 chromosome",1532,4847594
"NC_010002.1 chromosome",2129,6767514
"NC_010003.1 chromosome",861,2169548
"NC_010067.1 chromosome",1789,4600800
"NC_010079.1 chromosome",1121,2872915
"NC_010080.1 chromosome",796,2080931
"NC_010084.1 chromosome",1340,3448466
"NC_010085.1 chromosome",685,1645259
"NC_010086.1 chromosome",765,2472928
"NC_010087.1 chromosome",259,919806
"NC_010102.1 chromosome",1906,4858887
"NC_010103.1 chromosome",926,2105969
"NC_010104.1 chromosome",430,1206800
"NC_010117.1 chromosome",785,2016427
"NC_010120.1 chromosome",885,2153416
"NC_010125.1 chromosome",1467,3944163
"NC_010159.1 chromosome",1583,4504254
"NC_010161.1 chromosome",698,2619061
"NC_010162.1 chromosome",3228,13033779
"NC_010163.1 chromosome",584,1496992
"NC_010167.1 chromosome",500,1400844
"NC_010168.1 chromosome",1386,3155250
"NC_010169.1 chromosome",850,1923763
"NC_010170.1 chromosome",1941,5287950
"NC_010172.1 chromosome",1918,5471154
"NC_010175.1 chromosome",1803,5258541
"NC_010184.1 chromosome",2018,5262775
"NC_010278.1 chromosome",972,2242062
"NC_010280.2 chromosome",370,1038863
"NC_010287.1 chromosome",369,1038842
"NC_010296.1 chromosome",1781,5842795
"NC_010320.1 chromosome",1035,2457259
"NC_010321.1 chromosome",979,2362816
"NC_010322.1 chromosome",2151,6078430
"NC_010334.1 chromosome",1769,5226917
"NC_010337.2 chromosome",1085,3075407
"NC_010364.1 chromosome",843,2000962
"NC_010376.1 chromosome",687,1797577
"NC_010380.1 chromosome",889,2245615
"NC_010382.1 chromosome",1669,4639821
"NC_010397.1 chromosome",2211,5067172
"NC_010407.1 chromosome",1264,3258645
"NC_010410.1 chromosome",1522,3936291
"NC_010424.1 chromosome",920,2349476
"NC_010468.1 chromosome",1884,4746218
"NC_010471.1 chromosome",758,1796284
"NC_010473.1 chromosome",1886,4686137
"NC_010475.1 chromosome",1177,3008047
"NC_010482.1 chromosome",647,1590757
"NC_010483.1 chromosome",828,1877693
"NC_010498.1 chromosome",1962,5068389
"NC_010503.1 chromosome",233,751679
"NC_010505.1 chromosome",2165,6077833
"NC_010506.1 chromosome",1926,5935403
"NC_010508.1 chromosome",1394,3532883
"NC_010511.1 chromosome",2457,7659055
"NC_010512.1 chromosome",395,1224595
"NC_010513.1 chromosome",888,2475130
"NC_010515.1 chromosome",1002,3213911
"NC_010516.1 chromosome",1358,3958233
"NC_010519.1 chromosome",873,2263857
"NC_010520.1 chromosome",1364,3992906
"NC_010524.1 chromosome",1802,4909403
"NC_010525.1 chromosome",746,1769823
"NC_010544.1 chromosome",256,879959
"NC_010545.1 chromosome",906,2369219
"NC_010546.1 chromosome",1742,4934271
"NC_010547.1 chromosome",88,429701
"NC_010551.1 chromosome",1368,3443583
"NC_010552.1 chromosome",904,2769414
"NC_010554.1 chromosome",1453,4063606
"NC_010556.1 chromosome",1277,3034136
"NC_010557.1 chromosome",359,1127947
"NC_010571.1 chromosome",1769,5957605
"NC_010572.1 chromosome",2885,8545929
"NC_010577.1 chromosome",890,2535690
"NC_010581.1 chromosome",1539,4170153
"NC_010582.1 chromosome",885,2209198
"NC_010602.1 chromosome",1262,3599677
"NC_010609.1 chromosome",849,2039414
"NC_010610.1 chromosome",868,2098685
"NC_010611.1 chromosome",1493,3904116
"NC_010612.1 chromosome",2518,6636827
"NC_010617.1 chromosome",1132,2697540
"NC_010622.1 chromosome",1357,3479187
"NC_010623.1 chromosome",850,2697374
"NC_010628.1 chromosome",2387,8234322
"NC_010644.1 chromosome",627,1643562
"NC_010645.1 chromosome",1444,3732255
"NC_010655.1 chromosome",1004,2664102
"NC_010658.1 chromosome",1734,4615997
"NC_010674.1 chromosome",1313,3800327
"NC_010676.1 chromosome",1201,3625999
"NC_010677.1 chromosome",809,1893886
"NC_010681.1 chromosome",1645,4467537
"NC_010688.1 chromosome",1758,5079002
"NC_010694.1 chromosome",1439,3883467
"NC_010698.2 chromosome",689,1608548
"NC_010717.2 chromosome",1614,5238555
"NC_010718.1 chromosome",1145,3165557
