"Replicon","Enzymes","Size"
"NC_007106.1 plasmid",1,8191
"NC_007107.1 plasmid",1,9150
"NC_007169.1 plasmid",1,2300
"NC_007170.1 plasmid",1,2366
"NC_007171.1 plasmid",3,8180
"NC_007274.1 plasmid",21,131950
"NC_007275.1 plasmid",9,51711
"NC_007322.2 plasmid",24,181677
"NC_007323.3 plasmid",15,94830
"NC_007351.1 plasmid",12,38454
"NC_007352.1 plasmid",3,22870
"NC_007385.1 plasmid",39,214396
"NC_007410.1 plasmid",75,366354
"NC_007411.1 plasmid",4,35762
"NC_007412.1 plasmid",61,300758
"NC_007427.1 plasmid",33,130989
"NC_007428.1 plasmid",0,23486
"NC_007430.1 plasmid",1,7510
"NC_007483.1 plasmid",7,40420
"NC_007486.1 plasmid",18,104014
"NC_007487.1 plasmid",0,3637
"NC_007491.1 plasmid",63,271577
"NC_007504.1 plasmid",0,1852
"NC_007505.1 plasmid",1,19146
"NC_007506.1 plasmid",3,38116
"NC_007507.1 plasmid",21,182572
"NC_007515.1 plasmid",1,13762
"NC_007595.1 plasmid",11,46366
"NC_007607.1 plasmid",30,182726
"NC_007608.1 plasmid",19,126697
"NC_007615.1 plasmid",1,18871
"NC_007616.1 plasmid",5,17036
"NC_007617.1 plasmid",2,14159
"NC_007641.1 plasmid",17,53732
"NC_007678.1 plasmid",7,35505
"NC_007713.1 plasmid",14,83306
"NC_007714.1 plasmid",7,27240
"NC_007715.1 plasmid",2,10810
"NC_007717.1 plasmid",0,3972
"NC_007718.1 plasmid",1,4009
"NC_007719.1 plasmid",0,5104
"NC_007720.1 plasmid",0,4316
"NC_007762.1 plasmid",36,194229
"NC_007763.1 plasmid",75,184338
"NC_007764.1 plasmid",96,250948
"NC_007765.1 plasmid",183,505334
"NC_007766.1 plasmid",195,642517
"NC_007790.1 plasmid",0,3125
"NC_007791.1 plasmid",0,4439
"NC_007792.1 plasmid",4,37136
"NC_007801.1 plasmid",38,86072
"NC_007900.1 plasmid",1,7552
"NC_007901.1 plasmid",36,257447
"NC_007930.1 plasmid",66,242436
"NC_007941.1 plasmid",18,114230
"NC_007949.1 plasmid",85,360405
"NC_007950.1 plasmid",86,338007
"NC_007959.1 plasmid",58,294829
"NC_007960.1 plasmid",45,188318
"NC_007961.1 plasmid",19,121408
"NC_007968.1 plasmid",10,41221
"NC_007971.2 plasmid",36,233720
"NC_007972.2 plasmid",19,171459
"NC_007974.2 plasmid",765,2580084
"NC_008010.2 plasmid",211,574127
"NC_008012.1 plasmid",12,27048
"NC_008013.1 plasmid",8,39794
"NC_008014.1 plasmid",32,194553
"NC_008036.1 plasmid",11,28543
"NC_008042.1 plasmid",35,130973
"NC_008043.1 plasmid",294,821788
"NC_008087.1 plasmid",1,9370
"NC_008118.1 plasmid",20,100918
"NC_008119.1 plasmid",1,10778
"NC_008120.1 plasmid",19,96471
"NC_008121.1 plasmid",1,10777
"NC_008122.1 plasmid",9,70299
"NC_008213.1 plasmid",8,46867
"NC_008226.2 plasmid",2,7881
"NC_008230.1 plasmid",0,3661
"NC_008263.1 plasmid",3,12397
"NC_008264.1 plasmid",2,12206
"NC_008269.1 plasmid",314,1123075
"NC_008270.1 plasmid",131,442536
"NC_008271.1 plasmid",96,332361
"NC_008341.1 plasmid",19,65132
"NC_008342.1 plasmid",11,55635
"NC_008378.1 plasmid",279,870021
"NC_008379.1 plasmid",116,352782
"NC_008381.1 plasmid",158,488135
"NC_008382.1 plasmid",14,151564
"NC_008383.1 plasmid",42,147463
"NC_008384.1 plasmid",239,684202
"NC_008385.1 plasmid",9,43581
"NC_008386.1 plasmid",29,106469
"NC_008387.1 plasmid",31,69269
"NC_008388.1 plasmid",1,16575
"NC_008389.1 plasmid",1,5824
"NC_008496.1 plasmid",6,37367
"NC_008498.1 plasmid",1,13413
"NC_008499.1 plasmid",6,35595
"NC_008500.1 plasmid",0,4449
"NC_008501.1 plasmid",0,3361
"NC_008502.1 plasmid",5,29061
"NC_008503.1 plasmid",2,14041
"NC_008504.1 plasmid",1,9554
"NC_008505.1 plasmid",19,74750
"NC_008506.1 plasmid",11,47208
"NC_008507.1 plasmid",1,14206
"NC_008537.1 plasmid",42,159538
"NC_008538.1 plasmid",30,115507
"NC_008539.1 plasmid",16,96488
"NC_008545.1 plasmid",33,164857
"NC_008573.1 plasmid",53,278942
"NC_008598.1 plasmid",11,55939
"NC_008607.1 plasmid",29,202397
"NC_008608.1 plasmid",2,30722
"NC_008688.1 plasmid",268,653815
"NC_008696.1 plasmid",2,31504
"NC_008697.1 plasmid",74,307814
"NC_008712.1 plasmid",65,328237
"NC_008713.1 plasmid",88,300725
"NC_008738.1 plasmid",35,239623
"NC_008739.1 plasmid",41,213290
"NC_008741.1 plasmid",47,198504
"NC_008757.1 plasmid",62,353291
"NC_008758.1 plasmid",35,190172
"NC_008759.1 plasmid",27,171866
"NC_008760.1 plasmid",27,143747
"NC_008761.1 plasmid",13,58808
"NC_008762.1 plasmid",8,21611
"NC_008763.1 plasmid",1,9898
"NC_008764.1 plasmid",1,6459
"NC_008770.1 plasmid",3,37473
"NC_008771.1 plasmid",2,31194
"NC_008790.1 plasmid",5,45025
"NC_008791.1 plasmid",6,67721
"NC_008826.1 plasmid",128,599444
"NC_009035.1 plasmid",51,116763
"NC_009036.1 plasmid",9,74000
"NC_009037.1 plasmid",3,16762
"NC_009038.1 plasmid",0,7995
"NC_009136.1 plasmid",0,8285
"NC_009140.1 plasmid",27,176473
"NC_009329.1 plasmid",8,57693
"NC_009343.1 plasmid",5,49120
"NC_009344.1 plasmid",2,8953
"NC_009345.1 plasmid",3,8401
"NC_009346.1 plasmid",0,5153
"NC_009347.1 plasmid",0,2101
"NC_009349.1 plasmid",28,166749
"NC_009350.1 plasmid",20,155098
"NC_009377.1 plasmid",9,71507
"NC_009378.1 plasmid",24,137010
"NC_009425.1 plasmid",17,157749
"NC_009426.1 plasmid",68,184462
"NC_009427.1 plasmid",215,487268
"NC_009453.1 plasmid",22,112992
"NC_009466.1 plasmid",13,59182
"NC_009467.1 plasmid",31,203589
"NC_009468.1 plasmid",44,187422
"NC_009469.1 plasmid",26,88953
"NC_009470.1 plasmid",6,37415
"NC_009471.1 plasmid",2,37155
"NC_009472.1 plasmid",1,8781
"NC_009473.1 plasmid",0,5629
"NC_009474.1 plasmid",0,4909
"NC_009475.1 plasmid",50,228826
"NC_009477.1 plasmid",10,30429
"NC_009478.1 plasmid",2,27357
"NC_009479.1 plasmid",5,69989
"NC_009496.1 plasmid",4,16344
"NC_009620.1 plasmid",570,1570951
"NC_009621.1 plasmid",389,1245408
"NC_009622.1 plasmid",35,219313
"NC_009649.1 plasmid",30,175879
"NC_009650.1 plasmid",25,107576
"NC_009651.1 plasmid",24,88582
"NC_009652.1 plasmid",1,4259
"NC_009653.1 plasmid",1,3478
"NC_009660.1 plasmid",2,12917
"NC_009661.1 plasmid",11,83224
"NC_009669.1 plasmid",40,170351
"NC_009670.1 plasmid",14,101491
"NC_009671.1 plasmid",14,93589
"NC_009672.1 plasmid",12,57138
"NC_009673.1 plasmid",0,7135
"NC_009700.1 plasmid",6,17531
"NC_009704.1 plasmid",10,58679
"NC_009705.1 plasmid",21,153140
"NC_009713.1 plasmid",1,3678
"NC_009726.1 plasmid",7,54179
"NC_009777.1 plasmid",10,89008
"NC_009779.1 plasmid",7,31208
"NC_009780.1 plasmid",31,131196
"NC_009786.1 plasmid",10,79237
"NC_009787.1 plasmid",2,34367
"NC_009788.1 plasmid",7,70609
"NC_009789.1 plasmid",3,6199
"NC_009790.1 plasmid",12,74224
"NC_009791.1 plasmid",1,5033
"NC_009793.1 plasmid",1,9294
"NC_009794.1 plasmid",1,5601
"NC_009795.1 plasmid",1,30949
"NC_009796.1 plasmid",2,16457
"NC_009806.1 plasmid",31,182572
"NC_009837.1 plasmid",29,174241
"NC_009838.1 plasmid",33,241387
"NC_009897.1 plasmid",3,15286
"NC_009926.1 plasmid",69,374161
"NC_009927.1 plasmid",66,356087
"NC_009928.1 plasmid",44,273121
"NC_009929.1 plasmid",58,226680
"NC_009930.1 plasmid",27,177162
"NC_009931.1 plasmid",25,172728
"NC_009932.1 plasmid",21,155110
"NC_009933.1 plasmid",14,120693
"NC_009934.1 plasmid",0,2133
"NC_009939.1 plasmid",31,205686
"NC_009955.1 plasmid",37,190506
"NC_009956.1 plasmid",51,152970
"NC_009957.1 plasmid",29,126304
"NC_009958.1 plasmid",27,86208
"NC_009959.1 plasmid",22,72296
"NC_009998.1 plasmid",10,75605
"NC_009999.1 plasmid",9,75508
"NC_010000.1 plasmid",8,49148
"NC_010008.2 plasmid",0,5428
"NC_010009.2 plasmid",1,9098
"NC_010010.2 plasmid",3,26587
"NC_010063.1 plasmid",8,27041
"NC_010070.1 plasmid",26,167422
"NC_010115.1 plasmid",4,37317
"NC_010123.1 plasmid",6,16610
"NC_010124.1 plasmid",3,38818
"NC_010157.1 plasmid",8,68190
"NC_010158.1 plasmid",24,114570
"NC_010160.1 plasmid",1,23343
"NC_010180.1 plasmid",71,417054
"NC_010181.1 plasmid",12,75107
"NC_010182.1 plasmid",15,64977
"NC_010183.1 plasmid",11,52830
"NC_010258.1 plasmid",5,39281
"NC_010366.1 plasmid",16,147625
"NC_010367.1 plasmid",4,40894
"NC_010368.1 plasmid",54,284332
"NC_010369.1 plasmid",18,194963
"NC_010371.1 plasmid",33,189163
"NC_010373.1 plasmid",11,57951
"NC_010374.1 plasmid",3,20019
"NC_010379.1 plasmid",22,148780
"NC_010381.1 plasmid",20,177642
"NC_010394.1 plasmid",4,23319
"NC_010399.1 plasmid",3,50350
"NC_010401.1 plasmid",0,5644
"NC_010402.1 plasmid",1,9661
"NC_010403.1 plasmid",0,2726
"NC_010404.1 plasmid",24,94413
"NC_010408.1 plasmid",8,94791
"NC_010418.1 plasmid",41,266785
"NC_010466.1 plasmid",10,31463
"NC_010467.1 plasmid",3,17971
"NC_010469.1 plasmid",2,12183
"NC_010470.1 plasmid",5,38713
"NC_010474.1 plasmid",37,186459
"NC_010476.1 plasmid",0,4809
"NC_010477.1 plasmid",4,16103
"NC_010478.1 plasmid",7,31972
"NC_010479.1 plasmid",9,38515
"NC_010480.1 plasmid",13,124030
"NC_010485.1 plasmid",1,8909
"NC_010486.1 plasmid",0,4074
"NC_010487.1 plasmid",0,3565
"NC_010488.1 plasmid",25,130440
"NC_010502.1 plasmid",1,27836
"NC_010504.1 plasmid",0,22114
"NC_010507.1 plasmid",5,21022
"NC_010509.1 plasmid",5,47003
"NC_010510.1 plasmid",151,586164
"NC_010514.1 plasmid",3,42985
"NC_010517.1 plasmid",7,37743
"NC_010518.1 plasmid",4,36410
"NC_010539.1 plasmid",9,39620
"NC_010541.1 plasmid",3,31856
"NC_010542.1 plasmid",0,14685
"NC_010543.1 plasmid",1,10244
"NC_010549.1 plasmid",1,4885
"NC_010550.1 plasmid",0,1765
"NC_010553.1 plasmid",37,301592
"NC_010555.1 plasmid",5,36289
"NC_010578.1 plasmid",23,66727
"NC_010579.1 plasmid",7,38297
"NC_010580.1 plasmid",26,181736
"NC_010604.1 plasmid",4,23317
"NC_010605.1 plasmid",4,28279
"NC_010606.1 plasmid",5,64366
"NC_010625.1 plasmid",591,1904893
"NC_010627.1 plasmid",132,595108
"NC_010629.1 plasmid",3,26419
"NC_010630.1 plasmid",9,123028
"NC_010631.1 plasmid",42,354564
"NC_010632.1 plasmid",37,254918
"NC_010633.1 plasmid",5,65940
"NC_010656.1 plasmid",0,2089
"NC_010657.1 plasmid",6,33103
"NC_010659.1 plasmid",0,5114
"NC_010660.1 plasmid",30,210919
"NC_010672.1 plasmid",1,7437
"NC_010679.1 plasmid",8,121122
"NC_010680.1 plasmid",2,47642
"NC_010693.1 plasmid",8,46159
"NC_010695.1 plasmid",2,9299
"NC_010696.1 plasmid",4,35494
"NC_010697.1 plasmid",8,48751
"NC_010699.1 plasmid",3,44694
"NC_010715.1 plasmid",2,17207
"NC_010721.1 plasmid",4,23392
"NC_010724.1 plasmid",2,8689
"NC_010727.1 plasmid",5,25164
"NC_010802.1 plasmid",26,167422
"NC_010813.1 plasmid",6,29037
"NC_010815.1 plasmid",28,77113
"NC_010844.1 plasmid",16,74116
"NC_010846.1 plasmid",16,74117
"NC_010940.1 plasmid",1,3533
"NC_010941.1 plasmid",4,4236
"NC_010942.1 plasmid",2,5685
"NC_010996.1 plasmid",122,429111
"NC_010997.1 plasmid",351,1091523
"NC_010998.1 plasmid",158,414090
"NC_011003.1 plasmid",17,92661
"NC_011034.1 plasmid",2,4153
"NC_011061.1 plasmid",13,66772
"NC_011079.1 plasmid",0,3605
"NC_011081.1 plasmid",11,91374
"NC_011082.1 plasmid",1,3373
"NC_011092.1 plasmid",30,110227
"NC_011093.1 plasmid",0,4585
"NC_011143.1 plasmid",100,382976
"NC_011148.1 plasmid",4,37978
"NC_011204.1 plasmid",12,74551
"NC_011246.1 plasmid",11,123937
"NC_011252.1 plasmid",5,22945
"NC_011253.1 plasmid",0,33213
"NC_011255.1 plasmid",0,35315
"NC_011258.1 plasmid",1,36869
"NC_011260.1 plasmid",3,52772
"NC_011263.1 plasmid",0,6131
"NC_011281.1 plasmid",23,91096
"NC_011282.1 plasmid",35,187922
"NC_011311.1 plasmid",12,83540
"NC_011314.1 plasmid",1,30807
"NC_011315.1 plasmid",1,5360
"NC_011316.1 plasmid",1,4327
"NC_011334.1 plasmid",2,10031
"NC_011350.1 plasmid",17,94644
"NC_011351.1 plasmid",4,37452
"NC_011355.1 plasmid",16,190588
"NC_011366.1 plasmid",174,501946
"NC_011367.1 plasmid",2,27455
"NC_011368.1 plasmid",441,1266105
"NC_011370.1 plasmid",105,308747
"NC_011371.1 plasmid",91,257956
"NC_011407.1 plasmid",1,6929
"NC_011408.1 plasmid",2,5366
"NC_011411.1 plasmid",0,4082
"NC_011413.1 plasmid",13,91158
"NC_011416.1 plasmid",10,60555
"NC_011419.1 plasmid",11,100021
"NC_011499.1 plasmid",2,10225
"NC_011526.1 plasmid",5,39280
"NC_011561.1 plasmid",2,37111
"NC_011562.1 plasmid",5,31893
"NC_011563.1 plasmid",0,4149
"NC_011564.1 plasmid",4,37560
"NC_011585.2 plasmid",0,8731
"NC_011602.1 plasmid",3,6147
"NC_011603.1 plasmid",16,97978
"NC_011664.1 plasmid",11,88311
"NC_011665.1 plasmid",5,59223
"NC_011667.1 plasmid",20,78374
"NC_011668.1 plasmid",9,65448
"NC_011720.1 plasmid",2,48168
"NC_011721.1 plasmid",7,50894
"NC_011722.1 plasmid",1,30467
"NC_011723.1 plasmid",9,40786
"NC_011724.1 plasmid",5,26514
"NC_011727.1 plasmid",0,16601
"NC_011730.1 plasmid",3,29239
"NC_011731.1 plasmid",1,30330
"NC_011732.1 plasmid",5,22636
"NC_011733.1 plasmid",2,18083
"NC_011734.1 plasmid",1,15219
"NC_011735.1 plasmid",1,29806
"NC_011736.1 plasmid",1,30964
"NC_011737.1 plasmid",25,197705
"NC_011738.1 plasmid",79,328635
"NC_011743.1 plasmid",12,55150
"NC_011758.1 plasmid",87,380207
"NC_011760.1 plasmid",0,22617
"NC_011771.1 plasmid",2,10915
"NC_011774.1 plasmid",9,140001
"NC_011775.1 plasmid",32,209488
"NC_011776.1 plasmid",0,3091
"NC_011777.1 plasmid",49,272145
"NC_011778.1 plasmid",4,36852
"NC_011779.1 plasmid",3,29758
"NC_011780.1 plasmid",0,23422
"NC_011781.1 plasmid",3,28414
"NC_011782.1 plasmid",0,17266
"NC_011783.1 plasmid",2,24326
"NC_011784.1 plasmid",2,53615
"NC_011785.1 plasmid",2,28885
"NC_011836.1 plasmid",13,59182
"NC_011878.1 plasmid",4,6054
"NC_011879.1 plasmid",82,426858
"NC_011881.1 plasmid",42,158475
"NC_011887.1 plasmid",119,458070
"NC_011888.1 plasmid",1,20286
"NC_011889.1 plasmid",1,12638
"NC_011890.1 plasmid",0,9829
"NC_011892.1 plasmid",128,487734
"NC_011893.1 plasmid",5,40463
"NC_011895.1 plasmid",5,37542
"NC_011960.1 plasmid",27,103355
"NC_011961.1 plasmid",306,917738
"NC_011962.1 plasmid",58,157345
"NC_011981.1 plasmid",160,631775
"NC_011982.1 plasmid",45,258824
"NC_011984.1 plasmid",46,211620
"NC_011986.1 plasmid",17,78730
"NC_011987.1 plasmid",117,388169
"NC_011990.1 plasmid",51,184668
"NC_011991.1 plasmid",24,130435
"NC_011994.1 plasmid",14,44420
"NC_011995.1 plasmid",4,15667
"NC_011996.1 plasmid",17,80545
"NC_011997.1 plasmid",0,2131
"NC_011998.1 plasmid",1,3417
"NC_012000.1 plasmid",2,4398
"NC_012001.1 plasmid",1,4226
"NC_012002.1 plasmid",1,4061
"NC_012003.1 plasmid",0,2968
"NC_012030.1 plasmid",71,431338
"NC_012036.1 plasmid",2,8291
"NC_012037.1 plasmid",0,3653
"NC_012040.1 plasmid",5,46201
"NC_012109.1 plasmid",10,68709
"NC_012124.1 plasmid",11,55414
"NC_012226.1 plasmid",16,35940
"NC_012417.1 plasmid",0,3125
"NC_012439.1 plasmid",3,53682
"NC_012473.1 plasmid",27,179680
"NC_012520.1 plasmid",101,558192
"NC_012521.1 plasmid",77,244997
"NC_012523.1 plasmid",23,111160
"NC_012527.1 plasmid",93,324711
"NC_012528.1 plasmid",103,396459
"NC_012529.1 plasmid",115,314317
"NC_012552.1 plasmid",0,3471
"NC_012577.1 plasmid",14,94875
"NC_012579.1 plasmid",21,181773
"NC_012586.1 plasmid",788,2430033
"NC_012624.1 plasmid",6,42245
"NC_012634.1 plasmid",2,12377
"NC_012654.1 plasmid",53,270022
"NC_012655.1 plasmid",14,94830
"NC_012656.1 plasmid",22,181677
"NC_012657.1 plasmid",0,9953
"NC_012718.1 plasmid",30,141792
"NC_012720.2 plasmid",15,141067
"NC_012723.1 plasmid",15,133591
"NC_012725.2 plasmid",19,134346
"NC_012732.1 plasmid",7,26406
"NC_012780.1 plasmid",235,626744
"NC_012782.1 plasmid",11,60455
"NC_012795.1 plasmid",2,8867
"NC_012797.1 plasmid",14,58704
"NC_012807.1 plasmid",5,44195
"NC_012809.1 plasmid",1,37858
"NC_012810.1 plasmid",0,24943
"NC_012811.1 plasmid",219,1261460
"NC_012847.1 plasmid",2,28192
"NC_012848.1 plasmid",254,828924
"NC_012852.1 plasmid",110,350312
"NC_012853.1 plasmid",144,516088
"NC_012854.1 plasmid",92,294782
"NC_012858.1 plasmid",217,660973
"NC_012923.1 plasmid",5,24579
"NC_012961.1 plasmid",3,29330
"NC_012970.1 plasmid",15,76680
"NC_012972.1 plasmid",1,9816
"NC_012983.1 plasmid",32,84492
"NC_012987.1 plasmid",25,141504
"NC_012989.1 plasmid",8,38579
"NC_013010.1 plasmid",17,94601
"NC_013157.1 plasmid",2,22190
"NC_013164.1 plasmid",21,115566
"NC_013200.1 plasmid",20,64508
"NC_013201.1 plasmid",49,221862
"NC_013206.1 plasmid",13,91726
"NC_013207.1 plasmid",12,87298
"NC_013208.1 plasmid",1,7907
"NC_013210.1 plasmid",29,191799
"NC_013211.1 plasmid",42,182940
"NC_013212.1 plasmid",6,49961
"NC_013213.1 plasmid",0,3204
"NC_013214.1 plasmid",0,3035
"NC_013215.1 plasmid",0,1815
"NC_013224.1 plasmid",10,45263
"NC_013263.1 plasmid",9,35909
"NC_013264.1 plasmid",1,3070
"NC_013265.1 plasmid",2,4955
"NC_013283.1 plasmid",29,138339
"NC_013284.1 plasmid",5,22448
"NC_013285.1 plasmid",9,53842
"NC_013354.1 plasmid",17,75546
"NC_013356.1 plasmid",15,53380
"NC_013357.1 plasmid",6,40818
"NC_013358.1 plasmid",2,4551
"NC_013362.1 plasmid",7,63365
"NC_013363.1 plasmid",3,5686
"NC_013365.1 plasmid",28,204604
"NC_013366.1 plasmid",12,77690
"NC_013367.1 plasmid",0,8140
"NC_013368.1 plasmid",1,6673
"NC_013369.1 plasmid",12,85167
"NC_013370.1 plasmid",11,97897
"NC_013386.1 plasmid",5,27830
"NC_013408.1 plasmid",1,10704
"NC_013409.1 plasmid",0,4704
"NC_013419.1 plasmid",2,3448
"NC_013442.1 plasmid",14,81410
"NC_013451.1 plasmid",0,1442
"NC_013452.1 plasmid",0,4440
"NC_013453.1 plasmid",5,17256
"NC_013502.1 plasmid",21,125133
"NC_013505.1 plasmid",4,25652
"NC_013509.1 plasmid",13,43703
"NC_013516.1 plasmid",1,10702
"NC_013518.1 plasmid",3,54160
"NC_013519.1 plasmid",1,13648
"NC_013531.1 plasmid",14,88604
"NC_013596.1 plasmid",2,28204
"NC_013655.1 plasmid",19,122345
"NC_013657.1 plasmid",6,37510
"NC_013717.1 plasmid",5,54449
"NC_013718.1 plasmid",6,39265
"NC_013719.1 plasmid",0,3910
"NC_013742.1 plasmid",0,2801
"NC_013744.1 plasmid",266,698495
"NC_013745.1 plasmid",113,413648
"NC_013746.1 plasmid",23,180781
"NC_013747.1 plasmid",51,171943
"NC_013748.1 plasmid",6,71062
"NC_013749.1 plasmid",2,15815
"NC_013767.1 plasmid",11,77054
"NC_013792.1 plasmid",62,285222
"NC_013793.1 plasmid",13,105029
"NC_013852.1 plasmid",20,102242
"NC_013855.1 plasmid",408,1455109
"NC_013856.1 plasmid",227,723779
"NC_013857.1 plasmid",222,681723
"NC_013858.1 plasmid",204,628837
"NC_013859.1 plasmid",125,537299
"NC_013860.1 plasmid",71,261596
"NC_013862.1 plasmid",5,39929
"NC_013888.1 plasmid",1,12197
"NC_013923.1 plasmid",129,378348
"NC_013924.1 plasmid",68,254950
"NC_013925.1 plasmid",8,58487
"NC_013930.1 plasmid",36,240256
"NC_013940.1 plasmid",40,308544
"NC_013942.1 plasmid",11,66001
